device_id,age_years,days_since_maint,issues_3m,issues_6m,avg_fix_hours,status,label,risk_score
1,7.9,32,4,7,11.1,1,0,53.9
2,10.8,96,6,6,1.9,0,0,50.9
3,0.8,210,8,14,11.0,0,0,61.6
4,0.6,170,6,11,13.7,0,0,49.3
5,1.7,396,1,6,40.8,0,0,49.6
6,8.9,556,1,15,18.5,0,1,77.2
7,7.6,377,3,14,3.8,0,1,66.0
8,11.8,245,1,7,13.7,0,0,44.5
9,4.8,221,4,15,45.0,0,0,59.9
10,2.5,753,3,5,22.5,0,1,73.9
11,8.4,231,5,5,11.4,0,0,45.1
12,3.6,223,5,8,31.6,0,0,60.1
13,5.8,278,2,5,35.9,0,0,51.1
14,5.4,604,6,11,10.9,2,1,97.5
15,1.5,55,1,3,30.3,1,0,25.5
16,1.2,397,7,15,12.4,0,1,74.0
17,8.3,124,8,12,37.0,0,0,60.0
18,2.3,10,4,12,36.7,0,0,24.6
19,7.7,661,8,11,7.8,1,1,96.2
20,9.5,550,0,10,23.7,0,0,57.1
21,11.8,321,3,3,11.9,0,0,41.4
22,8.9,77,8,10,6.6,0,0,58.5
23,3.5,628,6,9,44.6,1,1,90.0
24,8.7,415,5,12,43.2,0,1,66.2
25,1.2,28,8,11,28.5,0,0,50.7
26,1.2,76,0,10,3.9,0,0,22.0
27,3.0,142,7,10,37.8,1,0,52.4
28,1.6,448,5,11,20.0,2,1,67.2
29,8.0,668,1,1,19.6,0,1,68.2
30,3.4,201,8,15,7.2,0,0,56.2
31,10.6,84,7,15,5.2,0,0,63.7
32,0.7,102,3,5,19.8,0,0,35.4
33,10.9,175,6,6,47.3,0,1,72.5
34,5.7,440,8,15,7.9,0,1,88.0
35,7.2,562,0,10,3.2,0,0,53.2
36,10.3,168,0,2,40.9,0,0,26.2
37,10.4,420,1,15,27.6,0,0,51.5
38,1.4,680,8,13,44.9,0,1,89.3
39,3.2,412,2,12,31.2,0,0,64.1
40,11.3,16,7,8,4.0,0,0,46.2
41,11.2,77,3,8,14.0,0,0,47.3
42,4.0,676,8,8,32.2,0,1,93.2
43,1.7,144,4,5,42.8,1,0,35.8
44,3.7,222,5,8,33.2,2,1,73.3
45,3.4,59,1,11,20.6,0,0,13.0
46,9.4,659,4,6,35.7,0,1,74.7
47,0.6,84,2,10,2.2,0,0,23.4
48,5.4,49,4,9,43.2,1,0,63.7
49,10.8,222,3,13,5.4,1,1,77.3
50,5.2,642,2,5,41.6,2,1,96.1
51,10.6,32,2,13,44.4,1,0,58.0
52,8.2,759,3,7,8.1,1,1,78.4
53,0.9,488,3,6,39.3,0,0,43.2
54,9.6,240,3,3,31.9,0,0,42.9
55,1.3,798,4,9,31.0,0,1,84.1
56,6.7,35,1,15,46.6,0,0,56.3
57,3.6,118,6,11,35.1,0,0,52.3
